il.,No. Daftar,No. Lesen,Nama Pemegang Lesen,Nama Premis,Alamat Premis,Tarikh Lesen Dikeluarkan,Tarikh Kuatkuasa Lesen,Tarikh Luput Lesen,Tarikh Pembatalan lesen,Jenis Perniagaan
4671,QA0019/2021,21940,LING KUOK KANG,J. BIO MEDIC MARKETING SDN BHD,"Lot 8839, No. 162-C, Sect. 64, 1st Floor,Jalan Sekama,93300,Kuching,Kuching,Sarawak",7/10/2020,1/1/2021,31/12/2021,,Borong
4672,QA0020/2021,21941,KONG HUI WEN,REGION PHARMACY SDN BHD,"2B, Ground Floor, Lot 14143 Metrocity, Section 65, KTLD,Jalan Matang,93050,Kuching,Kuching,Sarawak",7/10/2020,1/1/2021,31/12/2021,,Runcit
4673,QA0021/2021,21942,LAU HUI SING,COSTMED PHARMACY SDN BHD,"No 70A,Market Road,96000,Sibu,Sibu,Sarawak",7/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
4674,QA0022/2021,21943,PRISCILLA CHUO POH POH,FARM LAND SUPPLIES AND VETERINARY SERVICES SDN BHD,"2404, Batu Kitang Light Industrial Park, Batu 7 1/2,Jalan Batu Kitang,93250,Kuching,Kuching,Sarawak",7/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
4675,QA0023/2021,21944,DAVID NG KHIN BOON,MEDTOWN PHARMACY SDN BHD [MEDTOWN PHARMACY],"Sublot 48, Ground Floor, Eastern Mall, Eastern Commercial Centre, 17th Mile,Jalan Kuching-Serian,94200,Kuching,Kuching,Sarawak",7/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
4676,QA0024/2021,21945,LING SIEW HIE,REJANG PARK PHARMACY,"61A, Ground Floor,Rejang Park,96000,Sibu,Sibu,Sarawak",7/10/2020,1/1/2021,31/12/2021,,Runcit
4677,QA0025/2021,21946,CHAI CHEE HUI,PAHANG PHARMACY SDN BHD,"Lot 1611, Block 36, MTLD, SL 4, Hartamas Industrial Park, 8th Mile,Jalan Penrissen,93250,Kuching,Kuching,Sarawak",7/10/2020,1/1/2021,31/12/2021,,Borong
4678,QA0026/2021,21947,LING NEE NEE,WELLMEDS PHARMACY,"No. 7, Sublot 8, G/F, Genesis Walk, Lot 324 & 1367, Block 10, Matang Land District, Matang Batu Kawa,Jalan Batu Kawa - Matang,93250,Kuching,Kuching,Sarawak",9/10/2020,1/1/2021,31/12/2021,,Runcit
4679,QA0027/2021,21948,STEPHANIE CHAN HUI CHENG,APEX PHARMACY MARKETING SDN BHD [APEX PHARMA],"AH 105-107, Batu Kawah New Township,Jalan Batu Kawa,93250,Kuching,Kuching,Sarawak",9/10/2020,1/1/2021,31/12/2021,,Borong
4680,QA0028/2021,21949,WONG KWONG KIONG,KK WONG PHARMACY,"No. 20,Central Road,96000,Sibu,Sibu,Sarawak",9/10/2020,1/1/2021,31/12/2021,,Runcit
4681,QA0029/2021,21950,WONG ONG PING,CENTRAL PHARMACY SDN BHD,"No. 18,Lorong Bukit Lima Timur 2A,96000,Sibu,Sibu,Sarawak",9/10/2020,1/1/2021,31/12/2021,,Borong
4682,QA0030/2021,21951,LEE YAN JI,COSTMED PHARMACY,"No. 30A,Jalan Repok,96100,Sarikei,Sarikei,Sarawak",9/10/2020,1/1/2021,31/12/2021,,Runcit
4683,QA0031/2021,21952,CHUNG YEN LING,WYMED PHARMA SDN BHD,"No. 30, Lot 5679, Uni Capital,Kuching-Kota Samarahan Expressway,94300,Kota Samarahan,Samarahan,Sarawak",9/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
4684,QA0032/2021,21953,NITYA A/P BALACHANDRAN,T & T LABORATORY (SARAWAK) SDN BHD,"No. 21 & 21A, Lot 2347 & 2348, Block 233, Kuching North Land District, Batu Kitang Light Industrial Park, Batu 7 1/2,Jalan Batu Kitang,93250,Kuching,Kuching,Sarawak",9/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
4685,QA0033/2021,21954,WONG SIE SING,BATH PHARMACY SDN BHD,"8,Jalan Court House,93000,Kuching,Kuching,Sarawak",13/10/2020,1/1/2021,31/12/2021,,Runcit
4686,QA0034/2021,21955,FRANK GIBSON ANAK PETER,MESTIKA UNIK SDN BHD [TIMBERLAND MEDICAL CENTRE],"Lot 5160-5169 & 7477-7486, Block 16, KCLD, 2 1/2 Mile,Rock Road,93250,Kuching,Kuching,Sarawak",13/10/2020,1/1/2021,31/12/2021,24/03/2021,Borong & Runcit
4687,QA0035/2021,21956,LAU KIM TING,DAILY HEALTH PHARMACY SDN BHD [DAILY HEALTH PHARMACY],"No. 12, Ground Floor, 203-A, Eastmoore Centre, Lot 3053,Jalan Rock,93200,Kuching,Kuching,Sarawak",13/10/2020,1/1/2021,31/12/2021,,Runcit
4688,QA0036/2021,21957,ANNIE WONG YOU LING,ANNIE PHARMACY PLT,"Ground Floor, No 21, Maong Bazaar, 3rd Mile,Rock Road,93250,Kuching,Kuching,Sarawak",13/10/2020,1/1/2021,31/12/2021,,Runcit
4689,QA0037/2021,21958,LAU LEE PENG,FARMASI CENTER POINT,"Sublot 1290, Lot 1230, Block 10, Miri Centerpoint, MCLD,Jalan Melayu,98000,Miri,Miri,Sarawak",13/10/2020,1/1/2021,31/12/2021,,Runcit
4690,QA0038/2021,21959,KEE JIA JIA,MESTIKA UNIK SDN BHD [TIMBERLAND MEDICAL CENTRE],"Lot 5160-5169 & 7477-7486, Block 16, KCLD, 2 1/2 Mile,Rock Road,93250,Kuching,Kuching,Sarawak",13/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
4691,QA0039/2021,21960,SUSAN TANG SIEW CHIN,SONSHINE PHARMACY,"No. 62A, Lot 1147,7th Mile Bazaar,93250,Kuching,Kuching,Sarawak",14/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
4692,QA0040/2021,21962,JUDITH TANG PEI PEI,GLOBAL PHARMA SDN BHD,"Ground Floor of Sublot 2, Lot 9683, Block 11, MTLD, Tabuan Stutong Commercial Centre Phase II,Jalan Setia Raja,93350,Kuching,Kuching,Sarawak",15/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
4693,QA0041/2021,21963,KIU MING SING,DAMAI PHARMALIFE (KS) SDN BHD [DAMAI PHARMACY],"GF, SL11 of Parent Lot 877, Samarahan Land District and Lots 2303 & 2306 both of Blk 26, MTLD @iman,Jalan Dato Mohd Musa,94300,Kota Samarahan,Samarahan,Sarawak",15/10/2020,1/1/2021,31/12/2021,,Runcit
4694,QA0042/2021,21964,SUSAN CHUA,CENTRAL PARK PHARMACY,"No. 381, Lot 2819, Ground Floor, Central Park Commercial Centre, 3rd Mile,Rock Road,93250,Kuching,Kuching,Sarawak",15/10/2020,1/1/2021,31/12/2021,,Runcit
4695,QA0043/2021,21965,YEO SIO BIN,GUARDIAN HEALTH AND BEAUTY SDN BHD,"Lot F20 & F21, First Floor, AEON Mall Kuching Central,Jalan Tun Ahmad Zaidi Adruce,93200,Kuching,Kuching,Sarawak",15/10/2020,1/1/2021,31/12/2021,,Runcit
4696,QA0044/2021,21967,TU TUONG CHUNG,ALPRO PHARMACY SDN BHD [FARMASI ALPRO],"Lot 1004, Block 7, Lorong Demak Laut 7A2, Muara Tebas Land District,Demak Laut Industrial Park,93050,Kuching,Kuching,Sarawak",15/10/2020,1/1/2021,31/12/2021,,Borong
4697,QA0045/2021,21968,YONG NYET LING,AFTER 9 PHARMACY,"Lot 935, Block 15, Batu Niah Bazaar,Jalan Batu Niah,98200,Miri,Miri,Sarawak",15/10/2020,1/1/2021,31/12/2021,,Runcit
4698,QA0046/2021,21969,TENG KEE SHENG,BINTULU SPECIALIST HOSPITAL SDN BHD [BINTULU MEDICAL CENTRE],"Lot 6009, Block 31,Kemena Land District,97000,Bintulu,Bintulu,Sarawak",15/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
4699,QA0047/2021,21970,TANG CHUNG KING,HOMETOWN PHARMACY,"No. 17, Ground Floor,Lorong Salim 17,96000,Sibu,Sibu,Sarawak",15/10/2020,1/1/2021,31/12/2021,,Runcit
4700,QA0048/2021,21971,LING TOH SUNG,TODAY PHARMACY SDN BHD,"No. 217, Ground Floor & 2nd Floor, Bintulu Sentral,Jalan Tg Kidurong,97000,Bintulu,Bintulu,Sarawak",15/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
4701,QA0049/2021,21972,TIONG EE JING,ALPRO ALLIANCE (SARAWAK) SDN BHD [FARMASI ALPRO],"Ground Floor, S/L 96, Lot 6468, Block 225, KNLD, 63, Pusat Komersil Emart Batu Kawa,Jalan Batu Kawa,93250,Kuching,Kuching,Sarawak",16/10/2020,1/1/2021,31/12/2021,,Runcit
4702,QA0050/2021,21973,WILLIAM LIANG TAK CHIANG,UBISSON SDN BHD,"No. 35, 1st & 3rd Floor, Pusat Pedada,Jalan Pedada,96000,Sibu,Sibu,Sarawak",16/10/2020,1/1/2021,31/12/2021,,Borong
4703,QA0051/2021,21974,JOYCE TING SU EE,GLOBAL PHARMA SDN BHD,"Ground Floor of Sublot 2, Lot 9683, Block 11, MTLD, Tabuan Stutong Commercial Centre Phase II,Jalan Setia Raja,93350,Kuching,Kuching,Sarawak",16/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
4704,QA0052/2021,21975,MELISSA HUI MUN THENG,MESTIKA UNIK SDN BHD [TIMBERLAND MEDICAL CENTRE],"Lot 5160-5169 & 7477-7486, Block 16, KCLD, 2 1/2 Mile,Rock Road,93250,Kuching,Kuching,Sarawak",16/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
4705,QA0053/2021,21976,CHUA SIEW KHIM,DAMAI PHARMALIFE (KS) SDN BHD [DAMAI PHARMACY],"GF, SL11 of Parent Lot 877, Samarahan Land District and Lots 2303 & 2306 both of Blk 26, MTLD @iman,Jalan Dato Mohd Musa,94300,Kota Samarahan,Samarahan,Sarawak",16/10/2020,1/1/2021,31/12/2021,,Runcit
4706,QA0054/2021,21977,JEANNIE TING THIEN SIEW,SYARIKAT ADVANCE MEDIC,"Ground Floor, Lot 11197, Palm Villa Commercial Centre, Block 5, Taman Jelita,Jalan Miri-Bintulu,98000,Miri,Miri,Sarawak",16/10/2020,1/1/2021,31/12/2021,,Runcit
4707,QA0055/2021,21978,YIP EE WEI,SUMMIT COMPANY (M) SDN BHD,"No. 57, Lot 3790, Liang Kee Commercial Centre, 4th Mile,Jalan Penrissen,93250,Kuching,Kuching,Sarawak",18/10/2020,1/1/2021,31/12/2021,,Borong
4708,QA0056/2021,21979,LYE SIANG NGOH,EE SYN PHARMACY SDN BHD,"No. 249,Central Park Commercial Centre,93250,Kuching,Kuching,Sarawak",18/10/2020,1/1/2021,31/12/2021,,Runcit
4709,QA0057/2021,21980,TING KING YIING,ALL CARE PHARMACY,"No. 77,Jalan Tan Sit Leong,96800,Kapit,Kapit,Sarawak",18/10/2020,1/1/2021,31/12/2021,,Runcit
4710,QA0058/2021,21981,CHRYSTAL SIM EE LIN,BINTULU SPECIALIST HOSPITAL SDN BHD [BINTULU MEDICAL CENTRE],"Lot 6009, Block 31,Kemena Land District,97000,Bintulu,Bintulu,Sarawak",18/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
4711,QA0059/2021,21982,MAY LING SEOK LEE,ALL CARE PHARMACY,"No. 77,Jalan Tan Sit Leong,96800,Kapit,Kapit,Sarawak",18/10/2020,1/1/2021,31/12/2021,,Runcit
4712,QA0060/2021,21983,LAU NGI JIA,LAU PHARMACY,"No. 46, Ground Floor, Medan Sentral Commercial Centre,Jalan Tanjung Kidurong,97000,Bintulu,Bintulu,Sarawak",18/10/2020,1/1/2021,31/12/2021,,Runcit
4713,QA0061/2021,21984,SU CHII LEONG,CL SU PHARMACY SDN BHD,"1812, Ground & First Floor,Jalan Oleander,98000,Miri,Miri,Sarawak",18/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
4714,QA0062/2021,21985,LAU YAT MING,REMEDIEN PHARMACY,"No. 6D, Kenyalang Park Shopping Centre,Jalan Datuk Amar Sim Kheng Hong,93300,Kuching,Kuching,Sarawak",18/10/2020,1/1/2021,31/12/2021,,Runcit
4715,QA0063/2021,21986,CHIN YEW KIAN,VISION PHARMACY (MIRI) SDN BHD [VISION PHARMACY],"Lot 5271, Block 11,Kuala Baram Land District,98000,Miri,Miri,Sarawak",18/10/2020,1/1/2021,31/12/2021,,Runcit
4716,QA0064/2021,21987,TING HONG NING,VISION PHARMACY SDN BHD,"Lot 561, Ground Floor, Pelita Commercial Centre,Miri-pujut Road,98000,Miri,Miri,Sarawak",18/10/2020,1/1/2021,31/12/2021,2/8/2021,Borong & Runcit
4717,QA0065/2021,21988,CHAI MING NAH,MESTIKA UNIK SDN BHD [TIMBERLAND MEDICAL CENTRE],"Lot 5160-5169 & 7477-7486, Block 16, KCLD, 2 1/2 Mile,Rock Road,93250,Kuching,Kuching,Sarawak",19/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
4718,QA0066/2021,21990,CHEE ZHI HAO,KINGSLEY PHARMACY SDN BHD [KINGS PHARMACY],"Lot 2860, Block 6, Kuala Baram Land District,Emart Commercial Centre Tudan,98000,Miri,Miri,Sarawak",19/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
4719,QA0067/2021,21991,JUDY NGU YIING YIING,CHENLIK PHARMACY SDN BHD,"Lot 1184, Block 18, Seduan Land District,Jalan Salim,96000,Sibu,Sibu,Sarawak",19/10/2020,1/1/2021,31/12/2021,,Runcit
4720,QA0068/2021,21992,GENEVIEVE GOH,PEACE PHARMACY,"Ground Floor, Sublot 21, Golden Court Commercial Centre, 4 1/2 Mile,Penrissen Road,93250,Kuching,Kuching,Sarawak",19/10/2020,1/1/2021,31/12/2021,,Runcit
4721,QA0069/2021,21993,CYNTHIA LAU XIN TIEN,REJANG SPECIALIST HOSPITAL SDN BHD [REJANG PHARMACY],"No. 29,Jalan Pedada,96000,Sibu,Sibu,Sarawak",19/10/2020,1/1/2021,31/12/2021,29/06/2021,Borong & Runcit
4722,QA0070/2021,21994,LEE CHIANG HUI,LEE PHARMACY,"No 22,Betong Bazaar,95700,Betong,Betong,Sarawak",19/10/2020,1/1/2021,31/12/2021,,Runcit
4723,QA0071/2021,21995,VUN VUI KIAT,GOLDEN WELLNESS PHARMA SDN BHD [GOLDEN WELLNESS PHARMACY],"Ground Floor, Lot 731,Bau Town District,94000,Bau,Kuching,Sarawak",19/10/2020,1/1/2021,31/12/2021,,Runcit
4724,QA0072/2021,21996,LIM YEE CHING,LIM PHARMACY,"Ground Floor, No. 196(A), Cinmuk Commercial Centre, 7th Mile Bazaar,Jalan Penrissen,93250,Kuching,Kuching,Sarawak",20/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
4725,QA0073/2021,21997,BEATRICE CHRISTINA TAN YIAN MENG,DKSH MALAYSIA SDN BHD,"Lot 1423, Sect. 66, Bintawa,Jalan Keluli,93450,Kuching,Kuching,Sarawak",20/10/2020,1/1/2021,31/12/2021,,Borong
4726,QA0074/2021,21998,JOANNA NGU CHEE YIEN,REJOICE PHARMACY SDN BHD,"Lot 12233, Ground Floor, Industrial Commercial Shophouse,Taman Tunku,98000,Miri,Miri,Sarawak",20/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
4727,QA0075/2021,21999,ALEN KIU SENG YONG,THE AGAPE PHARMACY,"No. 60,Pasar Engkilili,95800,Engkilili,Sri Aman,Sarawak",21/10/2020,1/1/2021,31/12/2021,,Runcit
4728,QA0076/2021,22000,HII LEE CHIN,QL PACIFIC VET GROUP SDN BHD,"Lot 1160, Block 71, Kota Padawan,Penrissen Road,93250,Kuching,Kuching,Sarawak",21/10/2020,1/1/2021,31/12/2021,,Borong
4729,QA0077/2021,22002,CHONG WEI SHIUAN,BORNEO INDAH SDN BHD,"No. 23, Lot 120, 1st Floor,Jalan Datuk Abg. Abd. Rahim 5,93450,Kuching,Kuching,Sarawak",21/10/2020,1/1/2021,31/12/2021,,Borong
4730,QA0078/2021,22003,CHUA WEI LAN,MY PHARMACY,"49, Lot 3782, Ground Floor, Liang Kee Commercial Centre, 4th Mile,Penrissen Road,93250,Kuching,Kuching,Sarawak",21/10/2020,1/1/2021,31/12/2021,,Runcit
4731,QA0079/2021,22004,AMINAH BINTI DELI,3A PHARMA SDN BHD,"No. 60, Lot 2570, 1st Floor,Jalan Tun Ahmad Zaidi Adruce,93150,Kuching,Kuching,Sarawak",21/10/2020,1/1/2021,31/12/2021,,Borong
4732,QA0080/2021,22005,ANTHONY LIEW KIM PAU,KINGSLEY PHARMACY SDN BHD [KINGS PHARMACY],"Lot 963, Taman Tunku Shopping Centre,Jalan Kuching,98000,Miri,Miri,Sarawak",21/10/2020,1/1/2021,31/12/2021,,Runcit
4733,QA0081/2021,22006,JOHN LAU YEW MING,LAU'S PHARMACY,"No 15,Jalan Dermaga,96500,Bintangor,Sarikei,Sarawak",21/10/2020,1/1/2021,31/12/2021,,Runcit
4734,QA0082/2021,22007,SHARMAINE SHARMILA A/P ANANTHAN,TODAY (MEDAN) PHARMACY,"58 H-A (Ground Floor), Medan Jaya Commercial Centre,Jalan Tun Hussein Onn,97000,Bintulu,Bintulu,Sarawak",21/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
4735,QA0083/2021,22008,LOH KUNG LIN,OKLIN PHARMACY SDN BHD [OKLIN PHARMACY],"Ground Floor, Lot 2718 of Block 4, Sungai Merah Town District, No. 30,Pusat Pedada,96000,Sibu,Sibu,Sarawak",21/10/2020,1/1/2021,31/12/2021,,Runcit
4736,QA0084/2021,22009,YEK NAI CHONG,WAN ANN TONG PHARMACY,"12, Ground Floor, Kota Sentosa,Jalan Penrissen,93250,Kuching,Kuching,Sarawak",21/10/2020,1/1/2021,31/12/2021,,Runcit
4737,QA0085/2021,22010,SANDRA LILIAN LING YEW CHIA,SL LING PHARMACY,"No. 55, G/F,Channel Road,96000,Sibu,Sibu,Sarawak",23/10/2020,1/1/2021,31/12/2021,,Runcit
4738,QA0086/2021,22011,LING SIEN HOCK,CHONG GUAN PHARMACY,"No. 10G,Jalan Mantis Selatan Upper Lanang,96000,Sibu,Sibu,Sarawak",23/10/2020,1/1/2021,31/12/2021,,Runcit
4739,QA0087/2021,22012,EUNICE GAN CHING HUI,PHARMANIAGA LOGISTICS SDN BHD,"Lot 1024, Block 7, Demak Laut Industrial Park,Muara Tebas Land District,93050,Kuching,Kuching,Sarawak",23/10/2020,1/1/2021,31/12/2021,,Borong
4740,QA0088/2021,22013,WONG SIEW KIONG,TOGETHER PHARMACY SDN BHD,"Lot 2968, Ground Floor, Pujut 7,Sevenew Commercial Center,98000,Miri,Miri,Sarawak",23/10/2020,1/1/2021,31/12/2021,,Runcit
4741,QA0089/2021,22014,EDNA LAI PHEY WOON,ALPRO ALLIANCE (SARAWAK) SDN BHD [FARMASI ALPRO],"Lot 1952, Ground Floor, Block 233, KNLD, Cinmuk Commercial Centre, Kota Sentosa,Jalan Penrissen,93250,Kuching,Kuching,Sarawak",23/10/2020,1/1/2021,31/12/2021,,Runcit
4742,QA0090/2021,22015,LING PIK SIENG,GREEN HUT FARMING SDN BHD,"No. 34, Lot 3677, Block 226, Kuching North Land District (Sublot 8), Taman STC, Batu 5, Lorong 1,Jalan Penrissen,93250,Kuching,Kuching,Sarawak",26/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
4743,QA0091/2021,22016,RAZAK @ ABDUL RAZAK IHI,CHEMTECQ SERVICES SDN BHD,"Lot 11899-4-8 (26 3rd Floor), Tabuan Stutong Commercial Centre Phase 2,Jalan Setia Raja,93350,Kuching,Kuching,Sarawak",26/10/2020,1/1/2021,31/12/2021,,Borong
4744,QA0092/2021,22017,SUNG NAI BOON@SONG TIN KUET@STANLEY,HENG FENG INDUSTRY SDN BHD,"Lot 157, Block 45, 8 1/2 Miles,Batu Kitang Road,93250,Kuching,Kuching,Sarawak",28/10/2020,1/1/2021,31/12/2021,,Borong
4745,QA0093/2021,22018,KUEH SHI SHI,K.S. HOO PHARMACY,"Lot 308, Beautiful Jade Centre,Nahkoda Gampar Road,98000,Miri,Miri,Sarawak",28/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
4746,QA0094/2021,22019,CHAN BAK YAW,B.Y. CHAN PHARMACY SDN BHD,"No. 3, Central Market Complex,Jalan Bengkel,96000,Sibu,Sibu,Sarawak",28/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
4747,QA0095/2021,22020,KHO MOON LIN,PHARMEX PHARMA (SARAWAK) SDN BHD,"Lot 13 & 14, Trinity Hub Commercial Centre,Jalan Datuk Tawi Sli,93250,Kuching,Kuching,Sarawak",28/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
4748,QA0096/2021,22021,DEBORAH WONG SHIH HAN,UMH PHARMACY (KUCHING) SDN BHD,"Lot 168 - 169,Jalan Song Thian Cheok,93100,Kuching,Kuching,Sarawak",28/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
4749,QA0097/2021,22022,JOANNA TING MOI SUE,CAHAYA MEKAR JAYA SDN BHD,"1st Floor, Lot 3026, 2 1/2 Miles,Jalan Tun Ahmad Zaidi Adruce,93150,Kuching,Kuching,Sarawak",28/10/2020,1/1/2021,31/12/2021,,Borong
4750,QA0098/2021,22023,TAN WEN MEE,ML FARMASI MAJU SDN BHD [ML MAJU PHARMACY],"Lot 2409, Ground Floor,Boulevard Commercial Centre,98000,Miri,Miri,Sarawak",28/10/2020,1/1/2021,31/12/2021,23/07/2021,Runcit
4751,QA0099/2021,22025,CHOO CHIA MAY,FARMASI ICARE MUKAH,"49,Jalan Mohd Fauzi,96400,Mukah,Mukah,Sarawak",28/10/2020,1/1/2021,31/12/2021,,Runcit
4752,QA0100/2021,22026,LIEW JING TIING,PHARMEX PHARMA (SARAWAK) SDN BHD,"Lot 13 & 14, Trinity Hub Commercial Centre,Jalan Datuk Tawi Sli,93250,Kuching,Kuching,Sarawak",28/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
4753,QA0101/2021,22027,LAU LING KIAT,PHARMSERVE PHARMA SDN BHD,"Lot 14944, 1st Floor, Block B, Stutong Parade Commercial Centre,Jalan Setia Raja,93350,Kuching,Kuching,Sarawak",28/10/2020,1/1/2021,31/12/2021,,Borong
4754,QA0102/2021,22028,MARIG ANAK SAGAM,MARIGOLD PHARMACY,"No. 203,Jalan Padungan,93100,Kuching,Kuching,Sarawak",28/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
4755,QA0103/2021,22029,TING YIIK PUNG,BIONIME (MALAYSIA) SDN BHD,"No. 35, Lot 2735, Ground & 2nd Floor, Pusat Pedada,Jalan Pedada,96000,Sibu,Sibu,Sarawak",30/10/2020,1/1/2021,31/12/2021,,Borong
4756,QA0104/2021,22030,TANG KUI JIN,HAPPY PHARMACY,"Ground Floor, Sublot 3, Lot 1921, Block 233, KNLD,Jalan Lapangan Terbang, Off Jalan Penrissen,93250,Kuching,Kuching,Sarawak",30/10/2020,1/1/2021,31/12/2021,,Runcit
4757,QA0105/2021,22031,LIEW SIEW FUN,HAPPY TOWN PHARMACY,"Ground Floor, No. 1, Bau Bazaar, Lot 295,Bau Town District,94000,Kuching,Kuching,Sarawak",30/10/2020,1/1/2021,31/12/2021,,Runcit
4758,QA0106/2021,22032,LEE IK HAW,SEJINGKAT PHARMACY,"Ground Floor, Lot 1573, Block 7, Muara Tebas Land District,Sejingkat Industrial Park,93050,Kuching,Kuching,Sarawak",30/10/2020,1/1/2021,31/12/2021,,Runcit
4759,QA0107/2021,22033,IRENE PANG YEE LING,ALPRO ALLIANCE (SARAWAK) SDN BHD [FARMASI ALPRO],"Ground Floor, Lot 2094, Block 16, KCLD,Hui Sing Commercial Centre,93200,Kuching,Kuching,Sarawak",30/10/2020,1/1/2021,31/12/2021,,Runcit
4760,QA0108/2021,22034,PHUA KIN ENG,UMH PHARMACY (KUCHING) SDN BHD,"Lot 168 - 169,Jalan Song Thian Cheok,93100,Kuching,Kuching,Sarawak",30/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
4761,QA0109/2021,22037,NGIENG SENG HUI@NGIEN SENG HUI,PLAZA PHARMACY,"GF 6A,Li Hua Plaza,97000,Bintulu,Bintulu,Sarawak",3/11/2020,1/1/2021,31/12/2021,,Runcit
4762,QA0110/2021,22038,WONG CHIE CHIE,ALPRO ALLIANCE (SARAWAK) SDN BHD [FARMASI ALPRO],"Ground Floor, S/L 96, Lot 6468, Block 225, KNLD, 63, Pusat Komersil Emart Batu Kawa,Jalan Batu Kawa,93250,Kuching,Kuching,Sarawak",3/11/2020,1/1/2021,31/12/2021,,Runcit
4763,QA0111/2021,22039,LING LEH YIEK,FARMASI BAU,"Ground Floor, Lot 267, Block A,Jalan Market Bau,94000,Bau,Kuching,Sarawak",3/11/2020,1/1/2021,31/12/2021,,Runcit
4764,QA0112/2021,22040,KONG MING SENG,WATSON'S PERSONAL CARE STORES SDN BHD [WATSON],"The Spring Bintulu, Lot G19B, Ground Floor, The Spring Mall,Jalan Tun Razak,97000,Bintulu,Bintulu,Sarawak",3/11/2020,1/1/2021,31/12/2021,2/8/2021,Runcit
4765,QA0113/2021,22041,PING FENG LI,ANTARES PHARMA (SARATOK) SDN BHD [TING PHARMACY],"Lot 93, Ground Floor,Saratok Bazaar,95400,Saratok,Saratok,Sarawak",3/11/2020,1/1/2021,31/12/2021,,Runcit
4766,QA0114/2021,22042,JONG SHI JIE,ANTARES PHARMA (SRI AMAN) SDN BHD [TING PHARMACY],"Lot 828, Block 3, Kpg Tengah,Simanggang Town District,95000,Sri Aman,Sri Aman,Sarawak",3/11/2020,1/1/2021,31/12/2021,,Runcit
4767,QA0115/2021,22043,HII LU PING,JOM PHARMACY SDN BHD [JOM PHARMACY],"Ground Floor, No. 4,3rd Mile Bazaar,93200,Kuching,Kuching,Sarawak",3/11/2020,1/1/2021,31/12/2021,,Runcit
4768,QA0116/2021,22044,ROBERT CHIONG CHUNG MIEW,ANTARES PHARMA (SARATOK) SDN BHD [TING PHARMACY],"Lot 93, Ground Floor,Saratok Bazaar,95400,Saratok,Saratok,Sarawak",3/11/2020,1/1/2021,31/12/2021,,Runcit
4769,QA0117/2021,22045,LIM CHOON HUA,FARMASI PERMAISURI,"Ground Floor, Lot 501, Block 9, MCLD, No. 130 & 132,Jalan Permaisuri,98000,Miri,Miri,Sarawak",3/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
4770,QA0118/2021,22046,SIM LING LING,MOH HENG PHARMACY SDN BHD,"16, Lot 90, Ground Floor,Jalan Bendahara,98000,Miri,Miri,Sarawak",4/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
4771,QA0119/2021,22048,GRACE KIU YONG XIN,WATSON'S PERSONAL CARE STORES SDN BHD [WATSON],"Lot L1-69-L1-70, First Floor, Bintang Megamall Shopping Complex,Jalan Miri-Pujut,98000,Miri,Miri,Sarawak",4/11/2020,1/1/2021,31/12/2021,,Runcit
4772,QA0120/2021,22049,KONG MING LEY,EXCELLENT PHARMACY,"Lot 7646,Medan Raya Commercial Centre,97000,Bintulu,Bintulu,Sarawak",4/11/2020,1/1/2021,31/12/2021,,Runcit
4773,QA0121/2021,22050,GLADYS WONG WUI ENG,MORNINGSTAR PHARMACY SDN BHD,"Lot 3468 (Parent Lots 1340 & 2198), Piasau Commercial Centre,Jalan Piasau Utara,98000,Miri,Miri,Sarawak",4/11/2020,1/1/2021,31/12/2021,,Runcit
4774,QA0122/2021,22051,SHARIFAH NORHAZIMAH BINTI WAN AHMAD,WIJA PHARMA SDN BHD [WIJA PHARMACY],"No. 19, Ground Floor, Kubah Ria Complex,Petra Jaya,93050,Kuching,Kuching,Sarawak",4/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
